Cultivar	Wild
s659	Improved cultivar	
s660	Improved cultivar	
s661	Improved cultivar	
s662	Improved cultivar	
s663	Improved cultivar	
s664	Improved cultivar	
s665	Improved cultivar	
s666	Improved cultivar	
s667	Improved cultivar	
s668	Improved cultivar	
s669	Improved cultivar	
s670	Improved cultivar	
s671	Improved cultivar	
s672	Improved cultivar	
s673	Improved cultivar	
s674	Improved cultivar	
s675	Improved cultivar	
s676	Improved cultivar	
s677	Improved cultivar	
s678	Improved cultivar	
s679	Improved cultivar	
s680	Improved cultivar	
s681	Improved cultivar	
s682	Improved cultivar	
s683	Improved cultivar	
s684	Improved cultivar	
s685	Improved cultivar	
s686	Improved cultivar	
s687	Improved cultivar	
s688	Improved cultivar	
s689	Improved cultivar	
s690	Improved cultivar	
s691	Improved cultivar	
s692	Improved cultivar	
s693	Improved cultivar	
s694	Improved cultivar	
s695	Improved cultivar	
s696	Improved cultivar	
s697	Improved cultivar	
s698	Improved cultivar	
s699	Improved cultivar	
s700	Improved cultivar	
s701	Improved cultivar	
s702	Improved cultivar	
s703	Improved cultivar	
s704	Improved cultivar	
s705	Improved cultivar	
s706	Improved cultivar	
s707	Improved cultivar	
s708	Improved cultivar	
s709	Improved cultivar	
s710	Improved cultivar	
s711	Improved cultivar	
s712	Improved cultivar	
s713	Improved cultivar	
s714	Improved cultivar	
s715	Improved cultivar	
s716	Improved cultivar	
s717	Improved cultivar	
s718	Improved cultivar	
s719	Improved cultivar	
s720	Improved cultivar	
s721	Improved cultivar	
s722	Improved cultivar	
s723	Improved cultivar	
s724	Improved cultivar	
s725	Improved cultivar	
s726	Improved cultivar	
s727	Improved cultivar	
s728	Improved cultivar	
s729	Improved cultivar	
s730	Improved cultivar	
s731	Improved cultivar	
s732	Improved cultivar	
s733	Improved cultivar	
s734	Improved cultivar	
s735	Improved cultivar	
s736	Improved cultivar	
s737	Improved cultivar	
s738	Improved cultivar	
s739	Improved cultivar	
s740	Improved cultivar	
s741	Improved cultivar	
s742	Improved cultivar	
s743	Improved cultivar	
s744	Improved cultivar	
s745	Improved cultivar	
s746	Improved cultivar	
s747	Improved cultivar	
s748	Improved cultivar	
s749	Improved cultivar	
s750	Improved cultivar	
s751	Improved cultivar	
s752	Improved cultivar	
s753	Improved cultivar	
s754	Improved cultivar	
s755	Improved cultivar	
s756	Improved cultivar	
s757	Improved cultivar	
s758	Improved cultivar	
s759	Improved cultivar	
s760	Improved cultivar	
s761	Improved cultivar	
s762	Improved cultivar	
s763	Improved cultivar	
s764	Improved cultivar	
s765	Improved cultivar	
s766	Improved cultivar	
s767	Improved cultivar	
s768	Improved cultivar	
s769	Improved cultivar	
s770	Improved cultivar	
s771	Improved cultivar	
s772	Improved cultivar	
s773	Improved cultivar	
s774	Improved cultivar	
s775	Improved cultivar	
s776	Improved cultivar	
s777	Improved cultivar	
s778	Improved cultivar	
s779	Improved cultivar	
s780	Improved cultivar	
s781	Improved cultivar	
s782	Improved cultivar	
s783	Improved cultivar	
s784	Improved cultivar	
s785	Improved cultivar	
s786	Improved cultivar	
s787	Improved cultivar	
s788	Improved cultivar	
s789	Improved cultivar	
s790	Improved cultivar	
s791	Improved cultivar	
s792	Improved cultivar	
s793	Improved cultivar	
s794	Improved cultivar	
s795	Improved cultivar	
s796	Improved cultivar	
s797	Improved cultivar	
s798	Improved cultivar	
s799	Improved cultivar	
s800	Improved cultivar	
s801	Improved cultivar	
s802	Improved cultivar	
s803	Improved cultivar	
s804	Improved cultivar	
s805	Improved cultivar	
s806	Improved cultivar	
s807	Improved cultivar	
s808	Improved cultivar	
s809	Improved cultivar	
s810	Improved cultivar	
s811	Improved cultivar	
s812	Improved cultivar	
s813	Improved cultivar	
s814	Improved cultivar	
s815	Improved cultivar	
s816	Improved cultivar	
s817	Improved cultivar	
s818	Improved cultivar	
s819	Improved cultivar	
s820	Improved cultivar	
s821	Improved cultivar	
s822	Improved cultivar	
s823	Improved cultivar	
s824	Improved cultivar	
s825	Improved cultivar	
s826	Improved cultivar	
s827	Improved cultivar	
