Gene_ID	Trifoliate	Leaves	Roots
Glysoja.01G001199	0.934575	0.595924	0.445175
Glysoja.01G001200	0	0	0
Glysoja.01G001201	0	0	0
Glysoja.01G001202	0	0	0
Glysoja.01G001206	0.073774	0.077112	0.110898
Glysoja.01G001211	0	0	0
Glysoja.01G001212	0	0	0
Glysoja.01G001214	0	0	0
Glysoja.01G001215	0	0	0
Glysoja.01G001216	0	0	0
Glysoja.01G001217	0	0	0
Glysoja.01G001218	0	0	0
Glysoja.01G001219	0.035049	0.061392	0
Glysoja.01G001220	0	0	0
Glysoja.01G001221	0	0	0.1695
Glysoja.01G001222	0	0	0
Glysoja.01G001223	0	0	0
Glysoja.01G001224	0	0	0
Glysoja.01G001226	0	0.121629	0.939247
Glysoja.01G001227	0	0	0.703366
Glysoja.01G001228	0	0	0
Glysoja.01G001229	0	0	0
Glysoja.01G001235	0	0	0
Glysoja.01G001238	0.123363	0	0.636691
Glysoja.01G001239	0	0	0
Glysoja.01G001240	0	0	0
Glysoja.01G001244	0	0	0
Glysoja.01G001246	0	0	0
Glysoja.01G001247	0	0	0
Glysoja.01G001248	0	0	0
Glysoja.01G001250	0.007622	0.027044	0.029568
Glysoja.01G001251	0.003827	0.007947	0.002474
Glysoja.01G001252	0.005843	0.02832	0.012594
Glysoja.01G001253	0.04702	0.05678	0.08385
Glysoja.01G001256	0	0	0
Glysoja.01G001257	0	0	0
Glysoja.01G001258	0	0	0
Glysoja.01G001259	0.157602	0.182496	0.142387
Glysoja.01G001260	0	0	0
Glysoja.01G001261	0	0	0
Glysoja.01G001262	0	0	0
Glysoja.01G001263	0	0	0
Glysoja.01G001264	0	0.547865	0.312732
Glysoja.01G001265	0	0	0.037496
Glysoja.01G001266	0	0	0
Glysoja.01G001267	0	0	0
Glysoja.01G001268	0	0	0.010871
Glysoja.01G001269	0	0	0
Glysoja.01G001270	0.097087	0	0
Glysoja.01G001271	0	0	0
Glysoja.01G001274	0	0	0
Glysoja.01G001275	0	0	0
Glysoja.01G001276	0	0	0
Glysoja.01G001277	0	0	0
Glysoja.01G001278	0	0	0
Glysoja.01G001279	0	0	0
Glysoja.01G001280	0	0	0
Glysoja.01G001281	0	0	0
Glysoja.01G001282	0	0	0
Glysoja.01G001284	0	0	0
Glysoja.01G001285	0	0	0
Glysoja.01G001288	0	0	0
Glysoja.01G001291	0	0	0
Glysoja.01G001292	0	0	0
Glysoja.01G001294	0	0	0
Glysoja.01G001295	0	0	0
Glysoja.01G001296	0	0	0
Glysoja.01G001297	0	0	0
Glysoja.01G001298	0	0	0
Glysoja.01G001299	0.121371	0	0.501992
Glysoja.01G001300	0	0	0
Glysoja.01G001301	0	0.254044	0
Glysoja.01G001302	0	0.412048	0.618451
Glysoja.01G001303	0	0	0
Glysoja.01G001304	0	0	0
Glysoja.01G001305	0	0	0
Glysoja.01G001313	0	0	0
Glysoja.01G001314	0	0	0
Glysoja.01G001315	0	0	0
Glysoja.01G001316	0.882614	0.640941	0.323122
Glysoja.01G001317	0.10307	0	0
Glysoja.01G001320	0	0.218424	0.332678
Glysoja.01G001324	0.051233	0.201121	0.144868
Glysoja.01G001327	0	0	0
Glysoja.01G001328	0	0	0
Glysoja.01G001330	0.474029	0.373349	0.826668
Glysoja.01G001331	0	0	0.019885
Glysoja.01G001334	0	0	0
Glysoja.01G001338	0	0	0
Glysoja.01G001340	0	0	0
Glysoja.01G001342	0	0	0
Glysoja.01G001343	0	0	0
Glysoja.01G001344	0	0	0
Glysoja.01G001346	0	0	0
Glysoja.01G001347	0	0	0
Glysoja.01G001348	0	0	0
Glysoja.01G001349	0	0.084629	0.964401
Glysoja.01G001351	0	0	0
Glysoja.01G001352	0	0	0.044229
Glysoja.01G001353	0	0	0
Glysoja.01G001354	0	0	0
Glysoja.01G001357	0	0	0
Glysoja.01G001358	0	0	0
Glysoja.01G001359	0	0	0
Glysoja.01G001360	0	0	0
Glysoja.01G001361	0	0	0
Glysoja.01G001364	0	0	0
Glysoja.01G001367	0	0	0
Glysoja.01G001368	0.339744	0.071383	0.213799
Glysoja.01G001369	0	0	0
Glysoja.01G001372	0	0	0
Glysoja.01G001373	0	0	0
Glysoja.01G001374	0	0	0
Glysoja.01G001377	0.198502	0	0
Glysoja.01G001378	0	0	0
